Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
37147;Pleasantville;TN;35.679617;-87.65472;-6;1;35.679617,-87.65472
38326;Counce;TN;35.041335;-88.27379;-6;1;35.041335,-88.27379
37068;Franklin;TN;35.874553;-86.907565;-6;1;35.874553,-86.907565
37121;Mount Juliet;TN;36.156231;-86.304922;-6;1;36.156231,-86.304922
37995;Knoxville;TN;35.990142;-83.96218;-5;1;35.990142,-83.96218
38501;Cookeville;TN;36.1832;-85.52054;-6;1;36.1832,-85.52054
37848;Powder Springs;TN;36.24404;-83.68053;-5;1;36.24404,-83.68053
38314;Jackson;TN;35.612405;-88.841225;-6;1;35.612405,-88.841225
37415;Chattanooga;TN;35.116285;-85.28466;-5;1;35.116285,-85.28466
38004;Atoka;TN;35.422035;-89.80806;-6;1;35.422035,-89.80806
37370;Riceville;TN;35.363968;-84.70392;-5;1;35.363968,-84.70392
37152;Ridgetop;TN;36.396821;-86.76679;-6;1;36.396821,-86.76679
38159;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37118;Milton;TN;35.929221;-86.18393;-6;1;35.929221,-86.18393
37133;Murfreesboro;TN;35.859565;-86.420958;-6;1;35.859565,-86.420958
37379;Soddy Daisy;TN;35.269694;-85.16227;-5;1;35.269694,-85.16227
37143;Pegram;TN;36.121471;-87.04467;-6;1;36.121471,-87.04467
37191;Woodlawn;TN;36.503792;-87.54263;-6;1;36.503792,-87.54263
38579;Quebeck;TN;35.817417;-85.55772;-6;1;35.817417,-85.55772
37657;Flag Pond;TN;36.011662;-82.56056;-5;1;36.011662,-82.56056
37011;Antioch;TN;36.170556;-86.8825;-6;1;36.170556,-86.8825
37760;Jefferson City;TN;36.109404;-83.48325;-5;1;36.109404,-83.48325
37684;Mountain Home;TN;36.309201;-82.37338;-5;1;36.309201,-82.37338
38001;Alamo;TN;35.796157;-89.14016;-6;1;35.796157,-89.14016
38071;Tipton;TN;35.414319;-89.818781;-6;1;35.414319,-89.818781
37067;Franklin;TN;35.921811;-86.7952;-6;1;35.921811,-86.7952
38073;Gates;TN;35.839785;-89.40664;-6;1;35.839785,-89.40664
38114;Memphis;TN;35.101525;-89.98543;-6;1;35.101525,-89.98543
37324;Decherd;TN;35.234156;-86.0324;-6;1;35.234156,-86.0324
38061;Pocahontas;TN;35.067152;-88.76534;-6;1;35.067152,-88.76534
38233;Kenton;TN;36.201487;-89.03087;-6;1;36.201487,-89.03087
37762;Jellico;TN;36.578257;-84.13698;-5;1;36.578257,-84.13698
37770;Lancing;TN;36.133166;-84.66792;-5;1;36.133166,-84.66792
37069;Franklin;TN;35.97706;-86.89653;-6;1;35.97706,-86.89653
38133;Memphis;TN;35.208709;-89.80518000000001;-6;1;35.208709,-89.80518
38469;Loretto;TN;35.071804;-87.41974;-6;1;35.071804,-87.41974
37061;Erin;TN;36.301089;-87.68198;-6;1;36.301089,-87.68198
38340;Henderson;TN;35.414454;-88.66118;-6;1;35.414454,-88.66118
37134;New Johnsonville;TN;36.022057;-87.9564;-6;1;36.022057,-87.9564
38165;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37663;Kingsport;TN;36.468953;-82.49765;-5;1;36.468953,-82.49765
31788;White House;TN;31.138011;-83.716729;-5;1;31.138011,-83.716729
37330;Estill Springs;TN;35.280936;-86.12247;-6;1;35.280936,-86.12247
37305;Beersheba Springs;TN;35.467486;-85.67736;-6;1;35.467486,-85.67736
38384;Toone;TN;35.544159;-88.950206;-6;1;35.544159,-88.950206
37303;Athens;TN;35.441378;-84.61975;-5;1;35.441378,-84.61975
38565;Grimsley;TN;36.260904;-84.99517;-6;1;36.260904,-84.99517
38007;Bogota;TN;36.158668;-89.437684;-6;1;36.158668,-89.437684
37337;Grandview;TN;35.78168;-84.87955;-6;1;35.78168,-84.87955
38015;Burlison;TN;35.551277;-89.82387;-6;1;35.551277,-89.82387
38193;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38485;Waynesboro;TN;35.343716;-87.75739;-6;1;35.343716,-87.75739
38066;Rossville;TN;35.076213;-89.5329;-6;1;35.076213,-89.5329
37019;Belfast;TN;35.390308;-86.70969;-6;1;35.390308,-86.70969
37825;New Tazewell;TN;36.417235;-83.65241;-5;1;36.417235,-83.65241
38382;Trenton;TN;35.973431;-88.95035;-6;1;35.973431,-88.95035
38132;Memphis;TN;35.073545;-89.99788;-6;1;35.073545,-89.99788
38021;Crockett Mills;TN;35.875396;-89.16485;-6;1;35.875396,-89.16485
38365;Pickwick Dam;TN;35.038284;-88.225601;-6;1;35.038284,-88.225601
37721;Corryton;TN;36.141925;-83.8066;-5;1;36.141925,-83.8066
38308;Jackson;TN;35.612405;-88.841225;-6;1;35.612405,-88.841225
37803;Maryville;TN;35.693358;-83.98412;-5;1;35.693358,-83.98412
38119;Memphis;TN;35.082936;-89.84892;-6;1;35.082936,-89.84892
38253;Rives;TN;36.307957;-89.0377;-6;1;36.307957,-89.0377
38379;Stantonville;TN;35.159237;-88.41878;-6;1;35.159237,-88.41878
38580;Rickman;TN;36.270655;-85.32525;-6;1;36.270655,-85.32525
37311;Cleveland;TN;35.146362;-84.88723;-5;1;35.146362,-84.88723
38240;Obion;TN;36.253678;-89.25364;-6;1;36.253678,-89.25364
38303;Jackson;TN;35.612405;-88.841225;-6;1;35.612405,-88.841225
37868;Pigeon Forge;TN;35.880902;-83.556134;-5;1;35.880902,-83.556134
38350;Collinwood;TN;35.148316;-87.745118;-6;1;35.148316,-87.745118
38547;Brush Creek;TN;36.141741;-86.00868;-6;1;36.141741,-86.00868
37098;Lyles;TN;35.882639;-87.31395;-6;1;35.882639,-87.31395
38541;Allons;TN;36.525275;-85.36148;-6;1;36.525275,-85.36148
37620;Bristol;TN;36.561341;-82.16869;-5;1;36.561341,-82.16869
38344;Huntingdon;TN;35.995802;-88.41385;-6;1;35.995802,-88.41385
38117;Memphis;TN;35.112929;-89.90389;-6;1;35.112929,-89.90389
37080;Joelton;TN;36.329551;-86.90949;-6;1;36.329551,-86.90949
37371;Athens;TN;35.441376;-84.641623;-5;1;35.441376,-84.641623
37691;Trade;TN;36.367169;-81.75553;-5;1;36.367169,-81.75553
38029;Ellendale;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38101;Memphis;TN;35.050667;-89.847782;-6;1;35.050667,-89.847782
37165;Slayden;TN;36.283543;-87.458058;-6;1;36.283543,-87.458058
38134;Memphis;TN;35.193046;-89.86559;-6;1;35.193046,-89.86559
38027;Collierville;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38147;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38528;Trezevant;TN;36.003208;-88.614501;-6;1;36.003208,-88.614501
38588;Whitleyville;TN;36.456113;-85.72381;-6;1;36.456113,-85.72381
37028;Bumpus Mills;TN;36.633539;-87.86841;-6;1;36.633539,-87.86841
38459;Frankewing;TN;35.188143;-86.81014;-6;1;35.188143,-86.81014
37167;Smyrna;TN;35.968513;-86.52231;-6;1;35.968513,-86.52231
